s0,s1,s2,action,reward,s0_next,s1_next,s2_next,done
0,0,0,16,0.000000,0,0,0,0
0,1,0,23,0.688512,0,1,0,0
1,1,1,5,0.725702,1,1,1,0
0,1,2,25,-0.725702,0,1,2,0
1,2,2,24,1.412030,1,2,2,0
2,3,1,0,1.411449,2,3,1,0
1,2,0,3,-1.411449,1,2,0,0
0,2,0,16,-0.764654,0,2,0,0
0,3,0,20,0.599693,0,3,0,0
1,2,1,19,0.164961,1,2,1,0
2,1,1,1,0.000000,2,1,1,0
1,0,1,0,-1.412030,1,0,1,0
0,0,0,3,-0.688512,0,0,0,0
0,0,0,21,0.000000,0,0,0,0
1,0,0,12,0.688512,1,0,0,0
1,0,0,22,0.000000,1,0,0,0
2,0,0,22,0.647376,2,0,0,0
3,0,0,16,0.599693,3,0,0,0
3,1,0,20,0.804801,3,1,0,0
4,0,1,11,-0.260150,4,0,1,0
4,0,2,12,0.000000,4,0,2,0
4,0,1,16,0.000000,4,0,1,0
4,1,1,21,0.845250,4,1,1,0
5,1,0,9,0.521024,5,1,0,0
5,0,0,21,-0.884710,5,0,0,0
6,0,0,15,0.410010,6,0,0,0
6,1,0,1,0.921472,6,1,0,0
5,0,0,17,-1.331482,5,0,0,0
5,1,1,7,0.884710,5,1,1,0
4,2,1,12,0.295630,4,2,1,0
4,2,0,4,0.000000,4,2,0,0
3,2,0,22,-0.630146,3,2,0,0
4,2,0,12,0.630146,4,2,0,0
4,2,0,10,0.000000,4,2,0,0
4,1,0,5,-0.816654,4,1,0,0
3,1,1,23,-0.585100,3,1,1,0
4,1,2,5,0.585100,4,1,2,0
3,1,3,5,-0.585100,3,1,3,0
2,1,4,7,-0.639840,2,1,4,0
1,2,4,4,0.000000,1,2,4,0
0,2,4,2,-0.764654,0,2,4,0
0,1,5,15,-0.647376,0,1,5,0
0,2,4,5,0.647376,0,2,4,0
0,2,5,1,0.000000,0,2,5,0
0,1,5,11,-0.647376,0,1,5,0
0,0,6,19,-0.688512,0,0,6,0
1,0,6,0,0.688512,1,0,6,0
0,0,5,25,-0.688512,0,0,5,0
1,1,5,26,1.414214,1,1,5,0
2,2,6,26,1.414214,2,2,6,0
3,3,7,14,1.414214,3,3,7,0
3,3,8,3,0.000000,3,3,8,0
2,3,7,6,-0.730651,2,3,7,0
1,4,6,22,-0.186508,1,4,6,0
2,4,6,23,0.816654,2,4,6,0
3,4,7,1,0.780456,3,4,7,0
2,3,7,10,-1.410601,2,3,7,0
2,2,7,6,-0.683563,2,2,7,0
1,3,6,10,-0.088046,1,3,6,0
1,2,6,8,-0.639840,1,2,6,0
0,3,7,6,-0.164961,0,3,7,0
0,4,6,13,0.544652,0,4,6,0
0,4,6,22,0.000000,0,4,6,0
1,4,6,13,0.845250,1,4,6,0
1,4,6,8,0.000000,1,4,6,0
0,5,7,12,-0.363686,0,5,7,0
0,5,6,6,0.000000,0,5,6,0
0,6,5,6,0.410010,0,6,5,0
0,7,4,17,0.330023,0,7,4,0
0,8,5,26,0.242267,0,8,5,0
1,9,6,26,1.142654,1,9,6,0
2,10,7,20,1.055385,2,10,7,0
3,9,8,16,0.928932,3,9,8,0
3,10,8,25,0.071068,3,10,8,0
4,10,8,18,1.000000,4,10,8,0
5,9,7,21,0.900980,5,9,7,0
6,9,6,6,0.975914,6,9,6,0
5,10,5,9,-0.876894,5,10,5,0
5,9,4,2,-0.099020,5,9,4,0
4,8,5,15,-1.225536,4,8,5,0
4,9,4,21,0.241793,4,9,4,0
5,9,3,10,0.983743,5,9,3,0
5,8,3,24,-0.286145,5,8,3,0
6,9,2,8,1.262059,6,9,2,0
5,10,3,12,-0.876894,5,10,3,0
5,10,2,14,0.000000,5,10,2,0
5,10,3,17,0.000000,5,10,3,0
5,10,4,19,0.000000,5,10,4,0
6,9,4,14,0.876894,6,9,4,0
6,9,5,19,0.000000,6,9,5,0
7,8,5,19,0.517554,7,8,5,0
8,7,5,10,0.000000,8,7,5,0
8,6,5,26,-0.866585,8,6,5,0
9,7,6,8,1.309858,9,7,6,0
8,8,7,22,0.333851,8,8,7,0
9,8,7,15,0.592359,9,8,7,0
9,9,6,26,0.821854,9,9,6,0
0,0,0,8,10.000000,0,0,0,1
9,10,8,20,13.142136,9,10,8,0
0,0,0,18,-13.142136,0,0,0,0
1,0,1,23,0.688512,1,0,1,0
2,0,0,3,0.647376,2,0,0,0
3,0,1,14,0.599693,3,0,1,0
2,0,0,26,-0.599693,2,0,0,0
2,0,1,8,0.000000,2,0,1,0
3,1,2,9,1.404494,3,1,2,0
2,2,3,16,0.088046,2,2,3,0
2,1,2,26,-0.727886,2,1,2,0
2,2,2,19,0.727886,2,2,2,0
3,3,3,2,1.414214,3,3,3,0
4,2,3,6,-0.100505,4,2,3,0
3,1,4,14,-1.401754,3,1,4,0
2,2,3,6,0.088046,2,2,3,0
2,2,4,26,0.000000,2,2,4,0
1,3,3,24,-0.088046,1,3,3,0
2,4,4,11,1.401754,2,4,4,0
3,5,3,7,1.397675,3,5,3,0
3,4,4,9,-0.617219,3,4,4,0
2,5,4,26,-0.214437,2,5,4,0
2,4,3,10,-0.566019,2,4,3,0
3,5,4,26,1.397675,3,5,4,0
3,4,4,8,-0.617219,3,4,4,0
4,5,5,26,1.409295,4,5,5,0
3,6,6,26,-0.252008,3,6,6,0
4,7,7,20,1.354054,4,7,7,0
5,8,8,12,1.323039,5,8,8,0
6,7,9,3,0.385165,6,7,9,0
6,7,8,19,0.000000,6,7,8,0
5,7,7,23,-0.830952,5,7,7,0
6,6,7,0,0.174098,6,6,7,0
7,6,8,26,0.656854,7,6,8,0
6,5,7,26,-1.403124,6,5,7,0
7,6,8,26,1.403124,7,6,8,0
8,7,9,26,1.394449,8,7,9,0
9,8,10,18,1.369483,9,8,10,0
10,9,10,15,1.236068,10,9,10,0
10,8,9,15,-1.000000,10,8,9,0
10,9,8,11,1.000000,10,9,8,0
0,0,0,21,10.000000,0,0,0,1
10,9,8,26,13.142136,10,9,8,0
